0,60000; 96,84350
0,70000; 96,84350
0,80000; 96,32745
0,80000; 86,13537
1,20000; 79,42667
1,50000; 62,39687
1,60000; 62,39687
1,70000; 58,01041
1,80000; 48,59241
1,90000; 51,04367
1,90000; 42,27075
2,00000; 51,04367
2,00000; 40,72258
2,10000; 44,07694
2,20000; 39,94850
2,30000; 38,27133
2,40000; 38,01330
2,50000; 36,98119
2,60000; 35,43303
2,70000; 35,82007
2,80000; 35,82007
2,90000; 34,65895
3,10000; 32,07867
3,20000; 32,07867
3,30000; 32,07867
3,40000; 31,30459
3,50000; 31,30459
3,60000; 30,53051
3,80000; 30,27248
3,90000; 30,27248
4,70000; 29,75643
5,30000; 30,01446
5,70000; 30,53051
5,80000; 30,78854
5,90000; 30,78854
6,40000; 30,78854
6,90000; 33,11078
7,00000; 33,11078
7,90000; 35,69105
8,00000; 35,69105
8,40000; 35,94908
8,60000; 35,69105
8,70000; 35,69105
8,90000; 34,78796
9,00000; 34,78796
9,10000; 32,59473
9,20000; 31,30459
9,30000; 32,07867
9,40000; 32,07867
9,50000; 31,56262
9,60000; 29,49840
9,70000; 29,49840
9,80000; 27,95024
10,00000; 27,30517
10,10000; 27,30517
10,20000; 27,43418
10,60000; 25,36997
11,40000; 24,07983
11,50000; 24,07983
11,60000; 24,07983
11,70000; 24,33786
11,80000; 24,33786
11,90000; 24,33786
12,60000; 24,85391
12,80000; 25,11194
12,90000; 25,11194
13,30000; 24,85391
13,40000; 25,88602
14,10000; 26,66010
14,20000; 26,66010
14,80000; 28,72432
14,90000; 28,72432
15,10000; 29,49840
15,20000; 29,75643
15,30000; 29,75643
15,40000; 30,01446
15,50000; 30,53051
15,60000; 30,53051
15,70000; 29,75643
16,70000; 32,07867
16,80000; 30,53051
16,90000; 31,82065
17,00000; 31,82065
17,20000; 29,36939
17,30000; 29,36939
17,40000; 28,59531
17,50000; 28,72432
17,60000; 26,40207
17,70000; 26,40207
17,80000; 25,88602
18,10000; 26,14405
18,50000; 24,33786
18,60000; 24,33786
18,70000; 24,33786
19,00000; 23,43476
19,10000; 23,43476
19,50000; 23,30575
19,60000; 23,04772
19,90000; 23,56377
20,90000; 24,33786
21,10000; 24,59588
21,20000; 24,59588
21,30000; 24,85391
21,40000; 25,11194
21,50000; 25,11194
21,60000; 25,36997
21,90000; 25,88602
22,00000; 26,14405
22,30000; 26,40207
22,40000; 27,17616
22,50000; 27,17616
22,60000; 26,40207
22,80000; 27,95024
22,90000; 27,95024
23,10000; 28,46629
23,20000; 28,46629
23,40000; 28,20826
23,50000; 28,20826
23,60000; 29,75643
23,70000; 30,01446
24,40000; 30,78854
24,70000; 30,27248
25,10000; 29,49840
25,40000; 26,91813
25,70000; 27,43418
25,80000; 26,01503
25,90000; 25,88602
26,00000; 25,88602
26,10000; 24,72490
26,20000; 25,11194
26,30000; 25,11194
26,40000; 24,59588
26,50000; 23,30575
26,80000; 23,82180
27,10000; 22,78969
27,20000; 22,78969
28,60000; 23,04772
29,00000; 24,33786
29,10000; 24,33786
29,20000; 23,82180
29,50000; 24,59588
29,60000; 25,36997
29,90000; 25,88602
30,00000; 26,14405
30,10000; 26,14405
30,20000; 25,62799
30,30000; 26,27306
30,40000; 26,91813
30,50000; 26,91813
30,60000; 27,17616
30,70000; 27,43418
30,80000; 27,43418
30,90000; 26,91813
31,00000; 27,17616
31,10000; 27,17616
31,20000; 27,95024
31,40000; 28,20826
31,50000; 28,20826
31,70000; 28,98235
31,80000; 28,98235
31,90000; 30,27248
32,30000; 30,01446
32,70000; 29,75643
33,00000; 30,53051
33,10000; 28,98235
33,20000; 28,98235
33,30000; 27,17616
33,40000; 28,20826
33,50000; 26,91813
33,60000; 26,91813
33,70000; 26,27306
33,80000; 25,49898
33,90000; 25,49898
34,00000; 25,62799
34,10000; 25,11194
34,70000; 23,82180
34,90000; 22,78969
35,00000; 22,78969
35,40000; 22,53167
35,50000; 22,53167
35,60000; 22,53167
35,70000; 22,53167
35,80000; 22,53167
36,20000; 22,78969
36,60000; 23,04772
36,90000; 23,56377
37,00000; 23,56377
37,20000; 24,20884
37,50000; 25,11194
38,00000; 26,14405
38,10000; 26,14405
38,20000; 26,01503
38,30000; 26,27306
38,40000; 26,27306
38,50000; 26,91813
38,60000; 27,17616
38,70000; 27,17616
38,90000; 27,95024
39,30000; 27,95024
39,40000; 27,95024
39,50000; 28,20826
39,60000; 28,46629
39,70000; 29,75643
39,80000; 29,75643
40,60000; 30,27248
41,00000; 29,36939
41,10000; 28,85333
41,20000; 27,43418
41,30000; 27,82122
41,40000; 27,69221
41,50000; 27,69221
41,60000; 26,66010
41,70000; 26,01503
41,80000; 26,40207
41,90000; 25,88602
42,00000; 25,36997
42,30000; 24,07983
42,40000; 23,30575
42,50000; 23,04772
42,60000; 23,04772
42,80000; 22,78969
42,90000; 22,78969
43,00000; 23,04772
43,20000; 22,53167
43,30000; 22,53167
43,40000; 22,53167
43,50000; 22,53167
43,60000; 22,53167
43,70000; 22,53167
43,80000; 22,53167
43,90000; 22,53167
44,20000; 22,78969
44,30000; 22,78969
44,50000; 23,82180
44,60000; 23,82180
44,90000; 23,56377
45,00000; 23,56377
45,20000; 24,59588
45,30000; 24,59588
45,60000; 24,59588
45,70000; 25,11194
45,80000; 25,36997
45,90000; 25,11194
46,00000; 25,11194
46,10000; 25,75701
46,80000; 26,66010
46,90000; 26,91813
47,00000; 26,91813
47,10000; 27,17616
47,20000; 28,72432
47,80000; 30,01446
