Study,Time,DV,Arm,Dose,DV_CHR,Type_DV,Type_VAR,VAR,LVAR,UVAR,Route,Drug,Dose_freq,Unit_time,Unit_DV,Unit_dose,Source,Figure,Legend
,2.1,82.26496575,,,,,,,,,,,,,,,,,
,2.1,62.26785681,,,,,,,,,,,,,,,,,
,2.1,28.85333283,,,,,,,,,,,,,,,,,
,2.1,15.69394501,,,,,,,,,,,,,,,,,
,2.2,80.58778887,,,,,,,,,,,,,,,,,
,2.2,58.39744863,,,,,,,,,,,,,,,,,
,2.2,26.91812874,,,,,,,,,,,,,,,,,
,2.2,14.40380895,,,,,,,,,,,,,,,,,
,2.3,76.9754079,,,,,,,,,,,,,,,,,
,2.3,58.39744863,,,,,,,,,,,,,,,,,
,2.3,25.36996547,,,,,,,,,,,,,,,,,
,2.3,13.37170011,,,,,,,,,,,,,,,,,
,2.4,75.04020381,,,,,,,,,,,,,,,,,
,2.4,56.59125814,,,,,,,,,,,,,,,,,
,2.4,24.46687023,,,,,,,,,,,,,,,,,
,2.4,13.11367289,,,,,,,,,,,,,,,,,
,2.5,75.04020381,,,,,,,,,,,,,,,,,
,2.5,55.43013569,,,,,,,,,,,,,,,,,
,2.5,24.46687023,,,,,,,,,,,,,,,,,
,2.5,12.72663207,,,,,,,,,,,,,,,,,
,2.6,75.04020381,,,,,,,,,,,,,,,,,
,2.6,53.75295881,,,,,,,,,,,,,,,,,
,2.6,23.30574777,,,,,,,,,,,,,,,,,
,2.6,12.72663207,,,,,,,,,,,,,,,,,
,2.7,71.68585005,,,,,,,,,,,,,,,,,
,2.7,53.75295881,,,,,,,,,,,,,,,,,
,2.7,22.27363892,,,,,,,,,,,,,,,,,
,2.7,12.33959126,,,,,,,,,,,,,,,,,
,2.8,71.55683645,,,,,,,,,,,,,,,,,
,2.8,52.33380914,,,,,,,,,,,,,,,,,
,2.8,21.7575845,,,,,,,,,,,,,,,,,
,2.9,71.55683645,,,,,,,,,,,,,,,,,
,2.9,51.5597275,,,,,,,,,,,,,,,,,
,2.9,21.7575845,,,,,,,,,,,,,,,,,
,3,68.71853711,,,,,,,,,,,,,,,,,
,3,51.5597275,,,,,,,,,,,,,,,,,
,3,21.11251647,,,,,,,,,,,,,,,,,
,3.1,68.33149629,,,,,,,,,,,,,,,,,
,3.1,50.39860505,,,,,,,,,,,,,,,,,
,3.1,20.46744844,,,,,,,,,,,,,,,,,
,3.2,68.07346908,,,,,,,,,,,,,,,,,
,3.2,49.49550981,,,,,,,,,,,,,,,,,
,3.2,20.46744844,,,,,,,,,,,,,,,,,
,3.3,68.07346908,,,,,,,,,,,,,,,,,
,3.3,48.72142817,,,,,,,,,,,,,,,,,
,3.3,19.82238041,,,,,,,,,,,,,,,,,
,3.4,65.49319696,,,,,,,,,,,,,,,,,
,3.4,48.72142817,,,,,,,,,,,,,,,,,
,3.4,19.43533959,,,,,,,,,,,,,,,,,
,3.4,10.66241438,,,,,,,,,,,,,,,,,
,3.5,65.36418335,,,,,,,,,,,,,,,,,
,3.5,48.07636014,,,,,,,,,,,,,,,,,
,3.5,19.43533959,,,,,,,,,,,,,,,,,
,3.5,10.53340077,,,,,,,,,,,,,,,,,
,3.6,65.36418335,,,,,,,,,,,,,,,,,
,3.6,47.81833293,,,,,,,,,,,,,,,,,
,3.6,19.43533959,,,,,,,,,,,,,,,,,
,3.6,10.53340077,,,,,,,,,,,,,,,,,
,3.7,65.10615614,,,,,,,,,,,,,,,,,
,3.7,47.68931932,,,,,,,,,,,,,,,,,
,3.7,19.17731238,,,,,,,,,,,,,,,,,
,3.7,10.53340077,,,,,,,,,,,,,,,,,
,3.8,64.59010172,,,,,,,,,,,,,,,,,
,3.8,47.56030572,,,,,,,,,,,,,,,,,
,3.8,19.04829877,,,,,,,,,,,,,,,,,
,3.8,10.27537356,,,,,,,,,,,,,,,,,
,3.9,47.3022785,,,,,,,,,,,,,,,,,
,3.9,19.04829877,,,,,,,,,,,,,,,,,
,3.9,10.27537356,,,,,,,,,,,,,,,,,
,4,47.1732649,,,,,,,,,,,,,,,,,
,4,18.91928517,,,,,,,,,,,,,,,,,
,4,10.27537356,,,,,,,,,,,,,,,,,
,4.1,47.1732649,,,,,,,,,,,,,,,,,
,4.1,18.79027156,,,,,,,,,,,,,,,,,
,4.1,10.27537356,,,,,,,,,,,,,,,,,
,4.2,47.04425129,,,,,,,,,,,,,,,,,
,4.2,18.66125795,,,,,,,,,,,,,,,,,
,4.3,47.04425129,,,,,,,,,,,,,,,,,
,4.3,18.66125795,,,,,,,,,,,,,,,,,
,4.4,47.04425129,,,,,,,,,,,,,,,,,
,4.4,18.66125795,,,,,,,,,,,,,,,,,
,4.5,46.78622408,,,,,,,,,,,,,,,,,
,4.5,18.66125795,,,,,,,,,,,,,,,,,
,4.6,63.29996566,,,,,,,,,,,,,,,,,
,4.6,46.78622408,,,,,,,,,,,,,,,,,
